time,ax,ay,az,aT
0.0020,-0.6150,0.9512,-3.5692,3.745
0.0030,-0.2946,1.0358,-2.4246,2.653
0.0030,-0.4533,0.8653,-1.7967,2.045
0.0170,-0.8359,0.6538,-1.4410,1.790
0.0180,-0.9755,0.3575,-0.9964,1.440
0.0180,-0.9373,-0.0071,-0.5345,1.079
0.0240,-0.9701,-0.3517,-0.1438,1.042
0.0270,-0.9797,-0.5804,0.1038,1.143
0.0330,-0.9484,-0.6904,0.2225,1.194
0.0370,-0.8904,-0.7450,0.2263,1.183
0.0410,-0.8044,-0.7381,0.0885,1.095
0.0470,-0.7335,-0.6758,-0.1428,1.008
0.0510,-0.6228,-0.6381,-0.3245,0.949
0.0570,-0.5890,-0.5455,-0.4062,0.900
0.0600,-0.6132,-0.4430,-0.4649,0.888
0.0650,-0.5517,-0.3185,-0.5053,0.813
0.0700,-0.4640,-0.2222,-0.5823,0.777
0.0740,-0.3929,-0.1639,-0.7148,0.832
0.0790,-0.3228,-0.1221,-0.8572,0.924
0.0840,-0.3197,-0.0737,-0.9398,0.995
0.0890,-0.3416,-0.0094,-0.8979,0.961
0.0940,-0.3024,0.0097,-0.7075,0.769
0.0980,-0.1683,-0.0264,-0.5027,0.531
0.1030,-0.0424,-0.1255,-0.3311,0.357
0.1180,0.0394,-0.2692,-0.2380,0.362
0.1190,0.0871,-0.3861,-0.1350,0.418
0.1190,0.1005,-0.5048,0.0307,0.516
0.1220,0.0936,-0.5726,0.2085,0.617
0.1270,0.0364,-0.5417,0.3887,0.668
0.1310,-0.0433,-0.4857,0.4969,0.696
0.1360,-0.0150,-0.4398,0.5375,0.695
0.1410,0.0030,-0.3768,0.5248,0.646
0.1460,-0.0185,-0.2864,0.4276,0.515
0.1500,-0.0196,-0.2085,0.3175,0.380
0.1550,0.0572,-0.1284,0.2090,0.252
0.1600,0.1838,-0.1029,0.0161,0.211
0.1640,0.3177,-0.1414,-0.0697,0.355
0.1690,0.4596,-0.2152,-0.0890,0.515
0.1750,0.5462,-0.3202,-0.0917,0.640
0.1790,0.5905,-0.3926,-0.1039,0.717
0.1830,0.5604,-0.4501,-0.0748,0.723
0.1880,0.5075,-0.4558,0.0841,0.687
0.1960,0.4611,-0.4467,0.1890,0.669
0.1980,0.4263,-0.4071,0.2424,0.637
0.2020,0.2454,-0.3036,0.3400,0.518
0.2080,-0.0608,-0.1198,0.5581,0.574
0.2120,-0.2970,0.0680,0.8508,0.904
0.2170,-0.4540,0.2103,1.1315,1.237
0.2220,-0.5366,0.2792,1.2918,1.426
0.2260,-0.5373,0.2667,1.3315,1.460
0.2320,-0.4700,0.1789,1.2620,1.359
0.2360,-0.3548,0.0701,1.1262,1.183
0.2400,-0.1826,0.0295,0.9026,0.921
0.2460,-0.0224,0.0388,0.6294,0.631
0.2500,0.1414,-0.0000,0.4148,0.438
0.2550,0.2893,-0.0421,0.2663,0.395
0.2600,0.4348,-0.0979,0.1533,0.471
0.2640,0.5395,-0.1666,-0.0168,0.565
0.2690,0.5833,-0.3183,-0.2197,0.700
0.2740,0.6142,-0.4826,-0.4811,0.917
0.2780,0.6315,-0.7007,-0.7860,1.228
0.2830,0.5944,-0.9560,-1.0195,1.519
0.2910,0.5213,-1.2108,-1.1548,1.753
